"new.id","eff","Ecosystems","Ecosystem.origin","Ecosystem.type","Ecosystem.type2","resource","consumer","TL","Definition","element","element2"
"4",0.0719,"Natural aquatic","Natural","Aquatic","Marine","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"4",0.0323,"Natural aquatic","Natural","Aquatic","Marine","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"4",0.0312,"Natural aquatic","Natural","Aquatic","Marine","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"5",0.151,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"5",0.0119,"Natural aquatic","Natural","Aquatic","Marine","carnivore","invertebrate","II_III","Production","C","Energy"
"5",0.177,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"5",0.0062,"Natural aquatic","Natural","Aquatic","Marine","carnivore","invertebrate","II_III","Production","C","Energy"
"5",0.212,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"5",0.0123,"Natural aquatic","Natural","Aquatic","Marine","carnivore","invertebrate","II_III","Production","C","Energy"
"5",0.133,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"5",0.0128,"Natural aquatic","Natural","Aquatic","Marine","carnivore","invertebrate","II_III","Production","C","Energy"
"5",0.169,"Natural aquatic","Natural","Aquatic","Marine","herbivore","invertebrate","I_II","Production","C","Energy"
"5",0.0089,"Natural aquatic","Natural","Aquatic","Marine","carnivore","invertebrate","II_III","Production","C","Energy"
"6",0.133,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore","aggregated","I_II","Production","C","Energy"
"6",0.223,"Natural aquatic","Natural","Aquatic","Freshwater","carnivore","aggregated","II_III","Production","C","Energy"
"6",0.375,"Natural aquatic","Natural","Aquatic","Freshwater","carnivore","aggregated","III_IV","Production","C","Energy"
"6",0.087,"Natural aquatic","Natural","Aquatic","Freshwater","herbivore","aggregated","I_II","Production","C","Energy"
"6",0.055,"Natural aquatic","Natural","Aquatic","Freshwater","carnivore","aggregated","II_III","Production","C","Energy"
"6",0.13,"Natural aquatic","Natural","Aquatic","Freshwater","carnivore","aggregated","III_IV","Production","C","Energy"
"7",0.03565,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"7",0.01325,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"7",0.01185,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"7",0.02725,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"7",0.09285,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"7",0.24125,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"7",0.26505,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"7",0.28465,"Artificial aquatic","Artificial","Aquatic","Marine","herbivore + detritivore","invertebrate","I_II","Production","C","Energy"
"8",0.138488637,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.155567614,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.178864953,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.236448941,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.27825594,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.335160265,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.351119173,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.394420606,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.464158883,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.546227722,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.59948425,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.756463328,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.774263683,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.830217568,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.854708813,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.869749003,"Natural aquatic","Natural","Aquatic","Marine","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.001225699,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.003511192,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.004499839,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.005336699,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.005766927,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.006231766,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.006428073,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.007165016,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.016552117,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.019937083,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.019937083,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.021880924,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.024014287,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.024770764,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.025157745,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.030302593,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.031745474,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.043287613,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.06682118,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.068926121,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.080486348,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.088333668,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.120450354,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.124244673,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.128157027,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
"8",0.142851182,"Natural terrestrial","Natural","Terrestrial","Terrestrial","herbivore",NA,"I_II","Ingestion","C","Energy"
