"Variable","Cat","N","b","sig","lb","ub","ano","t","P"
"Definition","Ingestion","(4/56)",-1.88623696046438,"",-3.01535766845312,-0.757116252475644,"ab",0.539822292155514,0.591499
"Definition","Assimilation","(1/11)",-0.558898621044272,"*",-1.98825100790192,0.870453765813376,"b",2.24651380498877,0.048466
"Definition","Production","(6/271)",-3.06082757249291,".",-3.96357487254046,-2.15808027244535,"a",-1.87497738000308,0.061875
"All","All","(10/338)",-2.50589473166978,"",-3.19817634215191,-1.81361312118766,NA,-0.873896368812799,0.382797
